curr_dens,Volts_tot,Temp_tot,t_tot,SOC_tot
0,3.98716489254555,298.15,0,80
0,3.98716489254442,298.150000013488,0.5,80
0,3.98716489254321,298.150000024707,1,80
0,3.98716489254156,298.150000040646,1.5,80
0,3.98716489253837,298.150000075544,2,80
0,3.98716489253674,298.15000009082,2.5,80
0,3.98716489253302,298.150000127184,3,80
0,3.98716489253157,298.150000141404,3.5,80
0,3.98716489252859,298.150000172248,4,80
0,3.98716489252721,298.150000187733,4.5,80
0,3.98716489252489,298.150000211027,5,80
0,3.98716489252326,298.150000224953,5.5,80
0,3.98716489252361,298.15000022069,6,80
0,3.98716489252097,298.150000248553,6.5,80
0,3.98716489251972,298.150000260163,7,80
0,3.98716489251756,298.15000028521,7.5,80
0,3.98716489251622,298.150000296796,8,80
0,3.98716489251456,298.150000314509,8.5,80
0,3.98716489251149,298.150000344627,9,80
0,3.98716489250909,298.150000367864,9.5,80
0,3.98716489250842,298.150000374635,10,80
0,3.98716489250704,298.15000039051,10.5,80
0,3.98716489250701,298.150000384331,11,80
0,3.98716489250611,298.150000397682,11.5,80
0,3.98716489250517,298.150000406221,12,80
0,3.98716489250485,298.150000409046,12.5,80
0,3.9871648925036,298.150000420556,13,80
0,3.98716489250287,298.150000429697,13.5,80
0,3.98716489250145,298.150000446278,14,80
0,3.98716489250102,298.150000448884,14.5,80
0,3.98716489249896,298.150000468832,15,80
0,3.98716489249732,298.150000487755,15.5,80
0,3.98716489249564,298.15000050183,16,80
0,3.98716489249438,298.150000512653,16.5,80
0,3.98716489249348,298.150000522333,17,80
0,3.98716489249175,298.150000540283,17.5,80
0,3.98716489248998,298.15000056231,18,80
0,3.98716489248861,298.150000569569,18.5,80
0,3.98716489248554,298.150000604063,19,80
0,3.98716489248403,298.150000618445,19.5,80
0,3.98716489248218,298.150000635405,20,80
0,3.98716489248045,298.150000652699,20.5,80
0,3.98716489247948,298.150000665721,21,80
0,3.9871648924771,298.150000687941,21.5,80
0,3.9871648924749,298.150000713698,22,80
0,3.98716489247303,298.150000726604,22.5,80
0,3.98716489247102,298.150000749474,23,80
0,3.98716489247043,298.150000754738,23.5,80
0,3.98716489246954,298.150000761676,24,80
0,3.98716489246902,298.150000769248,24.5,80
0,3.98716489246917,298.150000768906,25,80
0,3.98716489246748,298.150000786214,25.5,80
0,3.98716489246335,298.150000826058,26,80
0,3.98716489246121,298.150000851064,26.5,80
0,3.98716489246058,298.150000855661,27,80
0,3.98716489245982,298.150000859225,27.5,80
0,3.9871648924569,298.150000892099,28,80
0,3.98716489245557,298.150000902866,28.5,80
0,3.98716489245358,298.150000926925,29,80
0,3.98716489245155,298.150000944544,29.5,80
0,3.98716489245159,298.150000943904,30,80
-40.3373998606205,3.92223962584368,298.155026662558,30.5,79.9808336694626
-40.3373998606205,3.92174805480534,298.160356061389,31,79.9616673389252
-100.843487455845,3.82817944739245,298.186246698981,31.5,79.9137515183765
-100.843487455845,3.82690517446346,298.213187614351,32,79.8658356978277
-104.204958641529,3.82071887249442,298.242143009709,32.5,79.8163226729957
-104.204958641529,3.81948990108517,298.271561604896,33,79.7668096481636
-50.42174721241,3.90062578697452,298.280736167628,33.5,79.7428517362336
-50.42174721241,3.90022514401587,298.289367587634,34,79.7188938243036
-67.228998606205,3.87348610347322,298.303256142634,34.5,79.6869499406265
-67.228998606205,3.87284456256834,298.317405795836,35,79.6550060569493
-50.42174721241,3.89855666244264,298.32635760249,35.5,79.6310481450193
-50.42174721241,3.89816346018429,298.33517501847,36,79.6070902330893
-26.8916057145596,3.93536230037311,298.338543634403,36.5,79.5943126766383
-26.8916057145596,3.93526248335444,298.341696013612,37,79.5815351201873
6.72290142863989,3.98961413176413,298.341209960559,37.5,79.5847295093
6.72290142863989,3.98987491683398,298.340519537811,38,79.5879238984128
0,3.97920321898613,298.340112778507,38.5,79.5879238984128
0,3.97934335333845,298.33972008937,39,79.5879238984128
6.72290142863989,3.99037102766334,298.339028224806,39.5,79.5911182875255
6.72290142863989,3.99056350456909,298.338302557417,40,79.5943126766383
0,3.97984948022905,298.337847225243,40.5,79.5943126766383
0,3.97994157296482,298.33741514919,41,79.5943126766383
3.36144679427147,3.98547292372763,298.33682006099,41.5,79.595909869332
3.36144679427147,3.98559255233361,298.336207728822,42,79.5975070620258
0,3.98026232148289,298.335748034129,42.5,79.5975070620258
0,3.98033043249761,298.335300552775,43,79.5975070620258
0,3.98039485185109,298.334850936858,43.5,79.5975070620258
0,3.98045608426816,298.334399742311,44,79.5975070620258
-67.228998606205,3.87348692958294,298.34722652088,44.5,79.5655631783487
-67.228998606205,3.87267766367469,298.360746182933,45,79.5336192946716
-63.8675343894959,3.87712110302539,298.373321668975,45.5,79.5032726119665
-63.8675343894959,3.8764317031375,298.386010664831,46,79.4729259292614
-63.8675343894959,3.87576565943193,298.398835345854,46.5,79.4425792465563
-63.8675343894959,3.8751198681552,298.411788582065,47,79.4122325638513
0,3.97659024506383,298.41173505935,47.5,79.4122325638513
0,3.97677550689674,298.411199770296,48,79.4122325638513
6.72289358854294,3.98782772421444,298.410316607984,48.5,79.4154269492388
6.72289358854294,3.98804413658321,298.409394924405,49,79.4186213346263
3.36145463436842,3.98280114672309,298.408597822832,49.5,79.4202185310453
3.36145463436842,3.98294782069315,298.40780934849,50,79.4218157274643
2.52108901575208,3.98172438948564,298.407055729677,50.5,79.4230136238473
2.52108901575208,3.98184287329712,298.406302659724,51,79.4242115202302
3.36144679427147,3.98331346678085,298.405509225795,51.5,79.425808712924
3.36144679427147,3.98342827973768,298.404710853303,52,79.4274059056177
10.0843482229114,3.99440579893101,298.403728913435,52.5,79.4321974874243
10.0843482229114,3.99458622980428,298.402725042153,53,79.4369890692308
25.210873606205,4.01914872943777,298.402072155863,53.5,79.4489680251958
25.210873606205,4.01948395195339,298.401403929769,54,79.4609469811608
20.1687051570416,4.0116921058704,298.400523874433,54.5,79.470530148913
20.1687051570416,4.01194642459041,298.399675893488,55,79.4801133166652
19.328333876133,4.01084030223413,298.398814944303,55.5,79.4892971816909
19.328333876133,4.01107156252491,298.39797246495,56,79.4984810467165
15.9668888241053,4.00588199017479,298.397047762701,56.5,79.5060677198763
15.9668888241053,4.00606441776802,298.39614347867,57,79.513654393036
5.88253581002355,3.98997814143138,298.395243835206,57.5,79.5164494821127
5.88253581002355,3.99003813178048,298.394381160108,58,79.5192445711894
0,3.98060632788541,298.393724023059,58.5,79.5192445711894
0,3.98060116936241,298.393092069558,59,79.5192445711894
16.8072496515512,4.00771413857005,298.39228029724,59.5,79.5272305421087
16.8072496515512,4.00791047448301,298.391421458261,60,79.535216513028
12.6054368031025,4.0013282465506,298.3904978878,60.5,79.5412059910105
12.6054368031025,4.00146447334175,298.389595168547,61,79.547195468993
0,3.98126288796029,298.388922346273,61.5,79.547195468993
0,3.98124772846982,298.388298942599,62,79.547195468993
0,3.98123736569675,298.387676568042,62.5,79.547195468993
0,3.98123024767993,298.387055337396,63,79.547195468993
0,3.98122582774469,298.386435414146,63.5,79.547195468993
0,3.98122344732916,298.385816861216,64,79.547195468993
0,3.98122274851423,298.385199737895,64.5,79.547195468993
0,3.98122339067572,298.384584066574,65,79.547195468993
0,3.98122516545681,298.383969880599,65.5,79.547195468993
0,3.98122794941463,298.383357378313,66,79.547195468993
0,3.98123150331034,298.382746337881,66.5,79.547195468993
0,3.98123566041582,298.382136709394,67,79.547195468993
0,3.98124036905495,298.381528556554,67.5,79.547195468993
0,3.98124555824243,298.38092194505,68,79.547195468993
0,3.98125117531957,298.38031683861,68.5,79.547195468993
0,3.98125714725347,298.37971327004,69,79.547195468993
0,3.98126348075718,298.379111449547,69.5,79.547195468993
0,3.98127008956143,298.378511283765,70,79.547195468993
0,3.98127686542301,298.377912242718,70.5,79.547195468993
0,3.98128384053608,298.377314741676,71,79.547195468993
0,3.98129101896457,298.376718981363,71.5,79.547195468993
0,3.98129835213008,298.376124865693,72,79.547195468993
-40.3373998606205,3.916641907234,298.380951343923,72.5,79.5280291384557
-40.3373998606205,3.91615406230524,298.386093797948,73,79.5088628079182
-77.313349442482,3.85815486312239,298.402437003907,73.5,79.4721273411928
-77.313349442482,3.85720945705361,298.419374914481,74,79.4353918744675
-141.180883831978,3.76320903109282,298.468432059903,74.5,79.368309725037
-141.180883831978,3.76134182465082,298.51924272995,75,79.3012275756065
-114.289316446781,3.79776941305204,298.555356123218,75.5,79.2469229644149
-114.289316446781,3.79647506294139,298.591527182441,76,79.1926183532233
-90.7591435885429,3.82999028101873,298.616391497179,76.5,79.1494941124115
-90.7591435885429,3.82912013210762,298.641125888169,77,79.1063698715997
-90.7591435885429,3.82825320557422,298.666032306404,77.5,79.063245630788
-90.7591435885429,3.82739297964886,298.691116427778,78,79.0201213899762
-63.8675343894959,3.86777933060368,298.705307330254,78.5,78.9897747072712
-63.8675343894959,3.86733820495043,298.719193928311,79,78.9594280245661
-67.228998606205,3.86165113490002,298.734321078957,79.5,78.9274841408889
-67.228998606205,3.86113941477834,298.749522609193,80,78.8955402572118
-10.084388294518,3.95180122548817,298.750134746513,80.5,78.8907486563653
-10.084388294518,3.95201193026208,298.750185828608,81,78.8859570555187
9.24399087995291,3.98349964639305,298.748493098666,81.5,78.8903493412213
9.24399087995291,3.98385384099014,298.746662457942,82,78.894741626924
19.3283460718393,4.00045237589816,298.744632283039,82.5,78.9039254977445
19.3283460718393,4.00085794360137,298.742564047016,83,78.913109368565
42.0181145465374,4.03753155794147,298.741837749034,83.5,78.9330742913101
42.0181145465374,4.03812641629187,298.74113605294,84,78.9530392140553
35.2952209579945,4.02800757438313,298.739846801345,84.5,78.9698097514129
35.2952209579945,4.02848625857209,298.738624063882,85,78.9865802887705
16.8072531360388,3.99937429410241,298.736565932898,85.5,78.9945662613455
16.8072531360388,3.99962132407086,298.734569704209,86,79.0025522339204
-117.65076672554,3.7913695212315,298.769414509364,86.5,78.9466504283793
-117.65076672554,3.78972964118711,298.80619837875,87,78.8907486228383
-104.204930765629,3.80770458884498,298.83661499022,87.5,78.8412356112514
-104.204930765629,3.80644239053557,298.867311624157,88,78.7917225996646
-100.84349442482,3.81017693624551,298.896724942698,88.5,78.7438067758046
-100.84349442482,3.8090512422287,298.926442903649,89,78.6958909519446
-77.3133564114571,3.84336394275869,298.945654377191,89.5,78.6591554819079
-77.3133564114571,3.84267293327824,298.96469036104,90,78.6224200118712
-80.6747857832909,3.8368522506864,298.985268088778,90.5,78.584087357419
-80.6747857832909,3.83611716832357,299.006017614164,91,78.5457547029668
-50.42174721241,3.8824057550875,299.01553400665,91.5,78.5217967910368
-50.42174721241,3.88213811704198,299.024694446798,92,78.4978388791068
-50.42174721241,3.88185400963432,299.033831701388,92.5,78.4738809671768
-50.42174721241,3.88155906022506,299.042957877056,93,78.4499230552468
-13.4457871770859,3.94049411565611,299.043315477696,93.5,78.4435342844717
-13.4457871770859,3.9406525786505,299.043305287408,94,78.4371455136967
-26.8916370749474,3.91912358258469,299.04570371878,94.5,78.4243679423447
-26.8916370749474,3.91907053234125,299.048166451274,95,78.4115903709928
-13.4457871770859,3.94065297274507,299.048143142326,95.5,78.4052016002177
-13.4457871770859,3.94074561807305,299.047986245315,96,78.3988128294427
-36.9759635198116,3.90308456466587,299.052566209451,96.5,78.3812436866321
-36.9759635198116,3.90285254608564,299.057337702642,97,78.3636745438215
0,3.96205988700412,299.055660871408,97.5,78.3636745438215
0,3.96228472280456,299.05370214118,98,78.3636745438215
-26.8915743541718,3.91923349343599,299.055750571666,98.5,78.3508970022713
-26.8915743541718,3.9190993779738,299.0579774741,99,78.3381194607212
0,3.96221738975833,299.056157795654,99.5,78.3381194607212
0,3.96240895999506,299.054146464979,100,78.3381194607212
0,3.96258483963796,299.052119287908,100.5,78.3381194607212
0,3.96274834953655,299.050079775484,101,78.3381194607212
3.36144679427147,3.96830768744584,299.04775968749,101.5,78.339716653415
3.36144679427147,3.96848975384757,299.045415636927,102,78.3413138461087
6.72289358854294,3.97406208839412,299.042851648495,102.5,78.3445082314963
6.72289358854294,3.97426362861541,299.040270006715,103,78.3477026168838
31.9337846171856,4.01475261165629,299.03769564705,103.5,78.3628759665146
31.9337846171856,4.01520879116408,299.035079733174,104,78.3780493161454
45.3795717942715,4.03689345579349,299.033696949685,104.5,78.3996114365513
45.3795717942715,4.03745724787964,299.0323804238,105,78.4211735569572
54.6235618031025,4.05247426610169,299.032459920612,105.5,78.4471279626518
54.6235618031025,4.05310245923719,299.032654550712,106,78.4730823683464
45.379575278759,4.03925183062483,299.031617892281,106.5,78.4946444904079
45.379575278759,4.03974871595475,299.030665473076,107,78.5162066124695
26.0512361758947,4.00971102076766,299.028079580732,107.5,78.5285848670218
26.0512361758947,4.00997647185589,299.025550902195,108,78.5409631215743
9.24398739546537,3.98347766084837,299.022850611228,108.5,78.5453554056212
9.24398739546537,3.98355163579023,299.020207988275,109,78.5497476896682
3.36145006097853,3.97424040090636,299.017791599685,109.5,78.5513448839142
3.36145006097853,3.97425817107389,299.015401835128,110,78.5529420781601
0,3.96891320419481,299.013211722541,110.5,78.5529420781601
0,3.9689033265728,299.0110404898,111,78.5529420781601
0,3.96889934378286,299.008872950605,111.5,78.5529420781601
0,3.96889983085512,299.006709326968,112,78.5529420781601
0,3.96890420835808,299.004550126209,112.5,78.5529420781601
0,3.96891155107631,299.002395353525,113,78.5529420781601
0,3.96892143214024,299.000245197066,113.5,78.5529420781601
0,3.96893333292585,298.998099606567,114,78.5529420781601
0,3.96894700981002,298.995958700745,114.5,78.5529420781601
0,3.96896217638444,298.993822578063,115,78.5529420781601
0,3.96897863248651,298.991691270907,115.5,78.5529420781601
0,3.96899626896798,298.989565360724,116,78.5529420781601
0,3.96901481929041,298.987444227048,116.5,78.5529420781601
0,3.96903409437586,298.985327583567,117,78.5529420781601
-13.4458002439141,3.94758088811147,298.984503621026,117.5,78.5465533011763
-13.4458002439141,3.94744016108217,298.983764917338,118,78.5401645241926
-26.891602230072,3.92590919520386,298.985121634122,118.5,78.5273869693972
-26.891602230072,3.92561533508854,298.986599542714,119,78.5146094146018
-23.5301467245817,3.93067552283491,298.987507721658,119.5,78.5034290566394
-23.5301467245817,3.93044832872071,298.988414678226,120,78.4922486986769
-63.867548327446,3.86699497838725,298.999729090633,120.5,78.4619020093492
-63.867548327446,3.86623823058989,299.011560902706,121,78.4315553200215
-131.096539964676,3.7665175995746,299.055234974552,121.5,78.369264750328
-131.096539964676,3.7647486837337,299.100573941668,122,78.3069741806345
-127.735110592842,3.76778324764491,299.144669709438,122.5,78.2462807953565
-127.735110592842,3.766193862334,299.189351199509,123,78.1855874100785
-104.204958641529,3.79856106614586,299.221429134819,123.5,78.1360743852464
-104.204958641529,3.79746395285131,299.253465587533,124,78.0865613604143
-114.289281601906,3.78167632548956,299.291268209772,124.5,78.0322567657792
-114.289281601906,3.78042770338569,299.329601060293,125,77.9779521711441
-117.65075278759,3.77434379653182,299.370236927881,125.5,77.9220503722257
-117.65075278759,3.77307798451371,299.411316531722,126,77.8661485733072
-117.65075278759,3.77183457055514,299.452770953462,126.5,77.8102467743888
-117.65075278759,3.77061127246701,299.494593027943,127,77.7543449754703
-114.289281601906,3.77428061203274,299.534770819046,127.5,77.7000403808352
-114.289281601906,3.77315547498908,299.575187638613,128,77.6457357862002
-77.3133842873573,3.8274007909538,299.596636496548,128.5,77.6090003029182
-77.3133842873573,3.82695491366033,299.617520286546,129,77.5722648196363
-40.3373615312576,3.88458991853746,299.624399133446,129.5,77.5530985073111
-40.3373615312576,3.88463540082616,299.630706255385,130,77.5339321949859
-13.4457871770859,3.92796124104206,299.630393292319,130.5,77.5275434242108
-13.4457871770859,3.92824977515239,299.629722740909,131,77.5211546534358
0,3.95022752664076,299.626937555102,131.5,77.5211546534358
0,3.95058519505144,299.623983885144,132,77.5211546534358
3.36144679427147,3.95632628012444,299.620603492544,132.5,77.5227518461296
3.36144679427147,3.95665982658107,299.617157154659,133,77.5243490388233
13.4458028572798,3.97315750749119,299.612913298228,133.5,77.5307378170488
13.4458028572798,3.97355039236668,299.608599899333,134,77.5371265952743
19.3283303916454,3.98331858144063,299.604060042079,134.5,77.5463104586444
19.3283303916454,3.98373022411025,299.599498466243,135,77.5554943220144
31.9337671947479,4.00412936619168,299.595033967663,135.5,77.5706676633669
